,titulo,preco,quartos,area
302,"Apartamento para locação, JARDIM LA SALLE, TOLEDO - PR ",3000.0,2.0,91.97
303,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",4000.0,0.0,216.0
304,"Sala Comercial à venda, CENTRO, TOLEDO - PR ",2500.0,0.0,75.0
305,"Sala Comercial para locação, JARDIM PANORAMA II, TOLEDO - PR ",950.0,0.0,40.0
306,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",2800.0,0.0,110.0
307,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",5000.0,0.0,180.0
308,"Sala Comercial para locação, VILA INDUSTRIAL, TOLEDO - PR ",3100.0,0.0,87.0
309,"Container para locação, JARDIM LA SALLE, TOLEDO - PR ",9500.0,0.0,580.0
310,"Sobrado para locação, JARDIM GISELA, TOLEDO - PR ",3600.0,0.0,139.9
311,"Sala Comercial para Locação, CENTRO, TOLEDO - PR ",3500.0,0.0,180.2
312,"Sala Comercial para Locação, CENTRO, TOLEDO - PR ",1700.0,0.0,72.96
313,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",2000.0,0.0,102.74
314,"Sala Comercial para Locação, CENTRO, TOLEDO - PR ",1200.0,0.0,36.37
315,"Sala Comercial para Locação, CENTRO, TOLEDO - PR ",1400.0,0.0,65.21
317,"Barracão para locação, CENTRO, TOLEDO - PR ",23000.0,0.0,992.0
318,"Barracão para locação, ZONA RURAL, Sentido Sao Pedro do Iguaçu, TOLEDO - PR ",20000.0,0.0,1300.0
319,"Barracão para locação, ZONA RURAL, Sentido Sao Pedro do Iguaçu, TOLEDO - PR ",10000.0,0.0,2000.0
320,"Sala Comercial para locação, CENTRO, CASCAVEL - PR ",4700.0,0.0,103.24
321,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",5500.0,0.0,145.0
322,"Barracão para locação, VILA INDUSTRIAL, TOLEDO - PR ",14000.0,0.0,4936.27
323,TERRENO LOCALIZADO DE FRENTE PARA A AVENIDA CIRNE LIMA ,20000.0,0.0,2645.01
324,"Sala Comercial à venda, Corporativo Taipas CENTRO, TOLEDO - PR ",2770.0,0.0,49.05
325,"Apartamento para locação, JARDIM SANTA MARIA, TOLEDO - PR ",1600.0,2.0,108.24
326,"Sala Comercial para Locação, Corporativo Taipas CENTRO, TOLEDO - PR ",2390.0,0.0,37.52
327,"Sala Comercial para Locação, Corporativo Taipas CENTRO, TOLEDO - PR ",2390.0,0.0,37.52
328,"Apartamento Duplex para locação, CENTRO, TOLEDO - PR ",13000.0,2.0,536.07
329,"Casa, VILA INDUSTRIAL, TOLEDO - PR ",3100.0,2.0,195.0
330,"Barracão para locação, JARDIM PORTO ALEGRE, TOLEDO - PR ",5500.0,0.0,247.0
331,"Barracão para Locação, VILA PIONEIRO, TOLEDO - PR ",8100.0,0.0,821.0
333,"Sala Comercial para locação, JARDIM COOPAGRO, TOLEDO - PR ",17800.0,0.0,1608.22
334,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",6500.0,0.0,208.3
335,"Sala Comercial para locação, JARDIM SANTA MARIA, TOLEDO - PR ",9950.0,0.0,223.5
339,"Barracão para locação, CENTRO, TOLEDO - PR ",11000.0,0.0,480.0
340,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",3500.0,0.0,280.0
341,"Sala Comercial para locação, JARDIM PARIZOTTO, TOLEDO - PR ",2500.0,0.0,104.0
343,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",2490.0,0.0,49.0
344,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",2390.0,0.0,49.0
345,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",8800.0,0.0,267.54
346,"Barracão para locação, JARDIM AMERICA, TOLEDO - PR ",6200.0,0.0,256.0
347,"Apartamento para locação, CENTRO, TOLEDO - PR ",4350.0,2.0,120.0
348,"Apartamento para locação, CENTRO, TOLEDO - PR ",7000.0,0.0,330.0
349,SALA COMERCIAL BAIRRO CENTRO ,900.0,0.0,34.0
